project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007122,S20_Annette_SEC05_C03_MD30,S20_SEC05,-72.26126667,41.80591667,2020-03-04 00:00:00,2020-04-08 00:00:00,None,,None,,2098858,camera03,1,Camera Functioning,Knee height,,Parallel,,,,,S20,,,,,,
2007122,S24_Cindy_SEC06_C30_MD39,S24_SEC06,-72.25714667,41.81482167,2024-02-28 00:00:00,2024-03-12 00:00:00,None,,None,,2098926,camera30,1,Camera Functioning,Knee height,,Parallel,,,,,S24,,,,,,
2007122,F23_Kara_SEC05_CXX_SD99,F23_SEC05,-72.256384,41.814482,2023-09-29 00:00:00,2023-10-27 00:00:00,None,,None,,2098954,cameraXX,1,Camera Functioning,Knee height,,Parallel,,,,,F23,,,,,,
2007122,S20_Dipsi_SEC01_C04_MD31,S20_SEC01,-72.255079,41.81282,2020-03-02 00:00:00,2020-04-08 00:00:00,None,,None,,2098852,camera04,1,Camera Functioning,Knee height,,Parallel,,,,,S20,,,,,,
2007122,F23_Kara_SEC03_CXX_SD99,F23_SEC03,-72.255709,41.810676,2023-09-29 00:00:00,2023-10-08 00:00:00,None,,None,,2098954,cameraXX,1,Camera Functioning,Knee height,,Parallel,,,,,F23,,,,,,
2007122,F22_Nick_SEC06_C39_MD09,F22_SEC06,-72.256708,41.814279,2022-09-20 00:00:00,2022-09-28 00:00:00,None,,None,,2098925,camera39,1,Camera Functioning,Knee height,,Parallel,,,,,F22,,,,,,
2007122,F23_Michael_SEC10_CR3_SD16,F23_SEC10,-72.257105,41.81473,2023-09-20 00:00:00,2023-12-11 00:00:00,None,,None,,2098952,cameraR3,1,Camera Functioning,Knee height,,Parallel,,,,,F23,,,,,,
2007122,F19_Kristen_SEC06_C05_SD99,F19_SEC06,-72.2609351,41.8066138,2019-09-17 00:00:00,2019-10-20 00:00:00,None,,None,,2098850,camera05,1,Camera Functioning,Knee height,,Parallel,,,,,F19,,,,,,
2007122,F18_Anna_SEC12_C04_SD99,F18_SEC12,-72.26208,41.8174833,2018-09-19 00:00:00,2018-10-19 00:00:00,None,,None,,2098852,camera04,1,Camera Functioning,Knee height,,Parallel,,,,,F18,,,,,,
2007122,S23_Kara_SEC05_C23_MD35,S23_SEC05,-72.25517167,41.81331667,2023-03-01 00:00:00,2023-03-15 00:00:00,None,,None,,2098854,camera23,1,Camera Functioning,Knee height,,Parallel,,,,,S23,,,,,,
2007122,S20_Annette_SEC04_C06_MD17,S20_SEC04,-72.2566001,41.81448333,2020-03-03 00:00:00,2020-04-03 00:00:00,None,,None,,2098856,camera06,1,Camera Functioning,Knee height,,Parallel,,,,,S20,,,,,,
2007122,S20_Annette_SEC03_C11_MD05,S20_SEC03,-72.25713333,41.81476667,2020-03-03 00:00:00,2020-04-03 00:00:00,None,,None,,2098849,camera11,1,Camera Functioning,Knee height,,Parallel,,,,,S20,,,,,,
2007122,F18_Grace_SEC05_C05_SD99,F18_SEC05,-72.25541667,41.81283333,2018-09-17 00:00:00,2018-10-14 00:00:00,None,,None,,2098850,camera05,1,Camera Functioning,Knee height,,Parallel,,,,,F18,,,,,,
2007122,F18_Anna_SEC13_C01_SD99,F18_SEC13,-72.2620833,41.81358639,2018-09-19 00:00:00,2018-10-19 00:00:00,None,,None,,2098851,camera01,1,Camera Functioning,Knee height,,Parallel,,,,,F18,,,,,,
2007122,F23_Kara_SEC04_CXX_SD99,F23_SEC04,-72.256765,41.81599,2023-09-29 00:00:00,2023-10-27 00:00:00,None,,None,,2098954,cameraXX,1,Camera Functioning,Knee height,,Parallel,,,,,F23,,,,,,
2007122,S20_Annette_SEC06_C02_MD32,S20_SEC06,-72.26218333,41.80588333,2020-03-04 00:00:00,2020-03-20 00:00:00,None,,None,,2098857,camera02,1,Camera Functioning,Knee height,,Parallel,,,,,S20,,,,,,
